title,author,image,download_link,pages,publisher,year,language,file,Price,Used_Price,Condition
"Soil Mechanics of Earthworks, Foundations and Highway Engineering",,https://covers.zlibcdn2.com/covers100/books/01/c8/78/01c87896be8bcaca52e07c089af05f6f.jpg,https://1lib.in/dl/2279969/9cd462,354.0,Elsevier Science,1988.0,english,"PDF, 9.35 MB",749.82,436.86,Good
"Foundation Engineering: Design and Construction in Tropical Soils (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",B.B.K. Huat,https://covers.zlibcdn2.com/covers100/books/1b/64/a8/1b64a8a6064f320d5e8676e4654d99c4.jpg,https://1lib.in/dl/1247565/f9e712,256.0,Taylor & Francis,2006.0,english,"PDF, 86.52 MB",980.29,580.23,Good
"Practical Problems in Soil Mechanics and Foundation Engineering, 2 Wall and Foundation Calculations, Slope Stability",Sheng Y. Peng,https://covers.zlibcdn2.com/covers100/books/7d/29/cb/7d29cb9ff872aab75c6093386b69a825.jpg,https://1lib.in/dl/2800423/3ccf77,346.0,Elsevier Science Ltd,1985.0,english,"PDF, 9.86 MB",892.8,657.72,Like New
"Underwater Embankments on Soft Soil A Case History: A Case History (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",William F. van Impe,https://covers.zlibcdn2.com/covers100/books/2b/28/d7/2b28d733b9ded3fb3a0b37d1e5c56963.jpg,https://1lib.in/dl/981008/e79e1d,154.0,,2007.0,english,"PDF, 3.35 MB",839.46,532.16,Very Good
Eco- and Ground Bio-Engineering: The Use of Vegetation to Improve Slope Stability: Proceedings of the First International Conference on Eco-Engineering ... (Developments in Plant and Soil Sciences),Alexia Stokes,https://covers.zlibcdn2.com/covers100/books/d2/7c/f5/d27cf5f0f78661cdc6a1bb51872017f7.jpg,https://1lib.in/dl/901430/e57c96,420.0,,2007.0,english,"PDF, 10.67 MB",662.41,489.86,Like New
"Education and Training in Geo-Engineering Sciences: Soil Mechanics and Geotechnical Engineering, Engineering Geology, Rock Mechanics",Iacint Manoliu (Editor),https://covers.zlibcdn2.com/covers100/books/2a/85/a3/2a85a3de8e7a1a806373e75389652ccd.jpg,https://1lib.in/dl/5982938/e28e87,,CRC Press,2008.0,,"PDF, 375.03 MB",662.4,494.63,Like New
"Soil and Water Contamination: From molecular to catchment scale (Balkema: Proceedings and Monographs in Engineering, Water and Earth Sciences)",Marcel van der Perk,https://covers.zlibcdn2.com/covers100/books/3e/38/75/3e387570c44076d6ae03685077291479.jpg,https://1lib.in/dl/966945/b3831a,404.0,,2006.0,english,"PDF, 5.78 MB",623.23,471.95,Like New
Principles of Thermodynamics,Jean-Philippe Ansermet,https://covers.zlibcdn2.com/covers100/books/29/8d/5b/298d5b793e8e4ea777c283a683438cb2.jpg,https://1lib.in/dl/3685253/9f5b4e,529.0,Cambridge University Press,2019.0,english,"PDF, 11.50 MB",946.47,733.51,Like New
Thermodynamics: An Engineering Approach 8th Edition,Yunus A. Çengel,https://covers.zlibcdn2.com/covers100/books/6a/4e/d7/6a4ed73ae00d3eef0b078cfb696c02e2.jpg,https://1lib.in/dl/2577672/7b237e,1115.0,McGraw-Hill Education,2014.0,english,"PDF, 64.77 MB",840.45,528.89,Very Good
Thermal Physics: Thermodynamics and Statistical Mechanics for Scientists and Engineers,Robert F. Sekerka,https://covers.zlibcdn2.com/covers100/books/d0/c0/fb/d0c0fb6ef1544a096ece0f3689462a2e.jpg,https://1lib.in/dl/2717455/9a083e,610.0,Elsevier,2015.0,english,"PDF, 7.57 MB",883.23,526.1,Good
A Student's Guide to Entropy,Don S. Lemons,https://covers.zlibcdn2.com/covers100/books/d5/9b/d5/d59bd5184ced24e15383868560c5ba24.jpg,https://1lib.in/dl/2457294/1dcc55,,Cambridge University Press,2013.0,english,"PDF, 2.87 MB",608.23,410.35,Very Good
"Energy, entropy and engines : an introduction to thermodynamics",Chandra,https://covers.zlibcdn2.com/covers100/books/3a/86/10/3a8610929148eafdde75ca981af12166.jpg,https://1lib.in/dl/2713479/81807c,,John Wiley & Sons,2016.0,english,"PDF, 9.74 MB",987.96,603.99,Very Good
"Fundamentals of Physics: Mechanics, Relativity, and Thermodynamics",R. Shankar,https://covers.zlibcdn2.com/covers100/books/15/6a/b5/156ab54bbccd168e8512054b3d5f2bfb.jpg,https://1lib.in/dl/2577615/46ed97,464.0,Yale University Press,2014.0,english,"PDF, 3.80 MB",932.98,634.73,Very Good
Introduction to Chemical Engineering Thermodynamics,J.M. Smith,https://covers.zlibcdn2.com/covers100/books/81/20/2c/81202c13d04b612d214609b2c48520de.jpg,https://1lib.in/dl/4996049/f40114,750.0,McGraw-Hill Education,2018.0,english,"PDF, 56.57 MB",684.94,487.46,Like New
Statistical Mechanics Made Easy: A Guide for Students and Researchers,Daniel C. Mattis,https://covers.zlibcdn2.com/covers100/books/5d/d5/e4/5dd5e431e0c05f42749da12a4b15977a.jpg,https://1lib.in/dl/497030/069bb2,266.0,World Scientific Publishing Company,2003.0,english,"PDF, 2.22 MB",672.73,475.3,Like New
Entropy demystified: the second law of thermodynamics reduced to plain common sense,Arieh Ben-Naim,https://covers.zlibcdn2.com/covers100/books/92/35/72/9235720edfa8467b0f8dff0ac6dd8921.jpg,https://1lib.in/dl/454476/f47aae,248.0,World Scientific Publishing Company,2007.0,english,"PDF, 1.92 MB",673.36,412.34,Very Good
Instructor Solutions Manual for Thermodynamics: An Engineering Approach,Yunus A. Çengel,https://covers.zlibcdn2.com/covers100/books/87/60/e9/8760e915c5a6999ea926f9c3fae031d4.jpg,https://1lib.in/dl/2514687/5efbb2,2041.0,McGraw-Hill Education,2015.0,english,"PDF, 24.52 MB",721.7,396.98,Good
"THERMODYNAMICS: AN ENGINEERING APPROACH, NINTH EDITION",Çengel,https://covers.zlibcdn2.com/covers100/books/da/5d/f4/da5df4f314c567ddd8f39ebe664d2b07.jpg,https://1lib.in/dl/3718022/cdc03e,1009.0,McGraw-Hill,2019.0,english,"PDF, 138.74 MB",809.9,509.56,Very Good
Statistical Mechanics,R. K. Pathria,https://covers.zlibcdn2.com/covers100/books/5e/fd/07/5efd07e5a80c03c6732be6577301c97e.jpg,https://1lib.in/dl/1051129/9dcaaa,722.0,Academic Press,2011.0,english,"PDF, 7.42 MB",772.78,419.45,Good
